Roll No,Name,Gender,Age,Parents’ Education,Occupation,Family Income,Attendance (%),Previous Exam Performance,Hours of Study per Day,Hours of Sleep per Day,Class Participation,Assignment Submission Rate (%),Enrolled in Test Preparation Course,Receiving Tuition,Hours of Self-Study per Day,Health Status,Stress Level,Extra-Curricular Activities,Pass or Fail,Source of Study,Expected Percentage,Actual Percentage
363,Swati,Female,18,PG,Professor,425581,68.88,70.24,1.2,5.7,Low,81.36,No,No,1.4,Excellent,2,Art,Pass,Online,52,53
364,Swati,Female,14,High School,Shopkeeper,289688,86.3,77.07,4,7.1,Medium,85.53,Yes,No,3.3,Excellent,5,Music,Pass,Online,42,37
365,Rajat,Male,15,High School,Security Guard,71922,70.84,92.61,1.5,7.3,Low,68.87,No,Yes,2.3,Poor,4,Music,Pass,Online,29,32
366,Isha,Female,18,PG,Scientist,123333,82.5,84.82,1,6.1,Low,50.96,No,No,0.3,Excellent,3,None,Pass,Online,52,53
367,Shreya,Female,14,PG,Scientist,197244,64.58,71.96,4.3,7.9,High,82.61,Yes,Yes,3.4,Poor,1,None,Pass,Online,52,53
368,Kavya,Female,15,High School,Security Guard,460093,64.77,46.7,5,6.7,Low,90.43,Yes,No,2.9,Good,5,Art,Pass,Offline,50,45
369,Sneha,Female,15,PG,Manager,326858,90.1,59.34,4.6,7.5,Medium,82.3,No,No,1.8,Average,3,Dance,Pass,Online,52,53
370,Vivaan,Male,18,UG,Teacher,234052,61.43,69.52,4.7,7.2,High,68.81,No,No,0.1,Good,4,None,Pass,Online,52,53
371,Bhavna,Female,14,PG,Engineer,92137,64.42,56.2,3.1,7.7,High,79.5,Yes,No,3.5,Poor,2,None,Pass,Offline,52,53
372,Diya,Female,15,UG,Technician,238429,94,92.98,1,7.6,High,87.27,No,Yes,3.8,Average,2,Dance,Pass,Offline,52,53
373,Pranav,Male,16,UG,Salesperson,201932,51.82,89.16,1.8,6.1,Medium,91.12,Yes,No,3.5,Average,5,None,Pass,Offline,52,47
374,Simran,Female,15,PG,Engineer,208679,56.19,40.09,5,8.3,Medium,62.88,No,Yes,0.8,Good,3,Dance,Pass,Offline,52,53
375,Priya,Female,18,PG,Manager,187252,93.97,62.91,1.6,8.4,Medium,65.24,Yes,Yes,2.9,Excellent,3,Art,Pass,Online,52,53
376,Abhishek,Male,16,UG,Teacher,288327,80.69,86.21,5.9,6,High,62.54,Yes,No,3,Good,2,Sports,Pass,Online,52,53
377,Tanya,Female,16,PG,Professor,141853,67.66,57.46,5.1,6.8,Medium,60.14,Yes,No,0.9,Poor,4,None,Pass,Offline,52,53
378,Manish,Male,16,PG,Doctor,342606,74.27,53.51,5.4,5.9,High,78.04,No,No,3.9,Average,2,Music,Pass,Offline,52,53
379,Rajat,Male,18,High School,Farmer,84892,85.88,43.79,2.1,7.7,High,79.16,Yes,No,0.9,Excellent,2,None,Pass,Offline,49,60
380,Vivaan,Male,16,High School,Shopkeeper,297049,82.86,93.25,3,6.6,Low,99.24,Yes,No,3,Poor,5,Sports,Pass,Offline,34,29
381,Aditya,Male,17,PG,Scientist,274973,67.14,83.87,1.4,9,Medium,94.75,Yes,No,3.4,Poor,2,Dance,Pass,Offline,52,53
382,Neha,Female,16,PG,Scientist,142867,93.72,92.17,2.6,7.5,Low,72.08,No,Yes,2.5,Average,4,None,Pass,Online,52,53
383,Harsh,Male,16,PG,Professor,376184,52.04,54.25,2.3,7.2,Low,67.37,Yes,Yes,3.4,Excellent,4,None,Pass,Online,52,53
384,Pranav,Male,15,High School,Security Guard,255492,61.89,50.1,5.3,8.3,Medium,64.93,Yes,Yes,0.3,Good,2,Sports,Pass,Online,74,72
385,Raj,Male,14,UG,Clerk,153912,98.49,50.45,3.3,6.3,High,77.67,No,No,2.2,Good,3,Art,Pass,Offline,52,53
386,Krishna,Male,17,UG,Clerk,334001,64.59,73.52,1.4,6.3,Medium,50.79,No,No,0.2,Excellent,4,Music,Pass,Online,52,53
387,Pranav,Male,15,High School,Farmer,311941,63.87,79.48,5.5,5.2,Low,51.07,Yes,No,1.2,Good,2,Art,Pass,Offline,76,78
388,Pooja,Female,17,High School,Driver,361303,68.58,72.36,3.5,8.1,High,62.85,No,Yes,1.3,Excellent,5,Dance,Pass,Online,38,36
389,Priya,Female,15,UG,Clerk,60622,64.89,64.67,2,8.1,Low,53.34,Yes,Yes,1.3,Poor,5,Music,Pass,Online,52,47
390,Krishna,Male,17,High School,Driver,75631,71.14,95.58,5.4,7.5,Medium,80.16,No,No,0.5,Average,4,Dance,Pass,Online,60,57
391,Tanya,Female,16,PG,Manager,260584,80.71,57.14,5.6,6.7,Medium,67.29,No,Yes,2.9,Good,3,Music,Pass,Offline,52,53
392,Diya,Female,16,UG,Teacher,103643,99.36,42.26,1.2,5.3,High,50.82,Yes,No,4,Average,1,Music,Pass,Offline,52,53
393,Nikita,Female,16,PG,Doctor,106062,67.38,49.33,3.3,8.2,High,59.88,Yes,No,2.6,Average,3,Music,Pass,Online,52,53
394,Riya,Female,15,High School,Driver,255988,78.59,67.61,4,8.3,Medium,81.67,No,Yes,2,Excellent,2,Music,Pass,Offline,64,73
395,Swati,Female,15,High School,Farmer,480378,96.75,81.66,1.3,5.9,Medium,96.69,No,Yes,3.1,Poor,1,Sports,Pass,Online,50,52
396,Vikram,Male,17,High School,Farmer,425270,53.59,62.2,2,5.3,Medium,83.48,Yes,Yes,3.8,Average,3,Dance,Pass,Online,41,38
397,Yash,Male,17,UG,Accountant,63952,55.48,76.19,1.6,8,High,62.77,Yes,Yes,0,Average,3,Music,Pass,Online,52,53
398,Vikram,Male,15,High School,Shopkeeper,368344,69.56,74.02,3,6.8,High,59.32,No,Yes,0.7,Good,3,Dance,Pass,Online,49,49
399,Sakshi,Female,17,PG,Engineer,461843,69.89,95.5,3.2,8.9,Medium,82.84,No,No,3,Excellent,4,None,Pass,Offline,52,53
400,Kavya,Female,18,PG,Doctor,474594,87.68,51.26,4.4,6.3,High,68.43,Yes,No,0.4,Poor,1,Art,Pass,Offline,52,53
401,Priya,Female,18,UG,Clerk,450905,60.61,51.23,4.4,7.2,Low,94.83,Yes,No,3.9,Average,3,Art,Pass,Online,52,53
402,Aditya,Male,18,PG,Engineer,244295,52.29,42.4,2.1,6.7,Low,58.1,Yes,No,3.7,Good,5,None,Pass,Offline,52,50
403,Abhishek,Male,18,PG,Doctor,273261,76.33,47.68,5.2,8.7,Medium,53.04,Yes,Yes,1.4,Poor,1,Music,Pass,Online,52,53
404,Rajat,Male,17,High School,Driver,446046,53.28,74.06,5.8,5.5,Low,81.72,Yes,No,3.9,Average,4,Music,Pass,Offline,63,64
405,Rajat,Male,17,High School,Farmer,111145,75.38,78.89,5.3,7.6,Medium,62.37,No,Yes,0.4,Good,4,Art,Pass,Offline,59,57
406,Bhavna,Female,15,PG,Scientist,489182,82.94,49.58,2.5,6.9,Medium,60.02,Yes,No,1.5,Excellent,3,Dance,Pass,Offline,52,53
407,Aanya,Female,17,High School,Tailor,339603,50.3,85.04,4.9,7.1,Medium,58.51,Yes,Yes,3.2,Excellent,4,None,Pass,Offline,56,51
408,Vikram,Male,15,PG,Doctor,175146,73.74,56.96,3.1,6.6,Medium,70.63,No,Yes,2.3,Good,5,Music,Pass,Online,52,49
409,Vivaan,Male,17,PG,Manager,110921,87.78,42.38,2.7,8.8,Low,80.67,Yes,No,0.1,Poor,3,Art,Pass,Offline,52,53
410,Sakshi,Female,16,UG,Clerk,215548,54.74,45.86,2.9,6,Medium,61.01,Yes,Yes,3.8,Excellent,3,Dance,Pass,Offline,52,53
411,Diya,Female,14,PG,Scientist,81749,64.75,41.35,1.7,5.5,Low,81.11,Yes,Yes,1,Poor,4,Dance,Pass,Offline,52,53
412,Pooja,Female,18,PG,Doctor,363946,67.93,96.8,4.6,5.2,High,81.17,Yes,Yes,1.8,Good,3,None,Pass,Online,52,53
413,Sneha,Female,17,UG,Teacher,294523,69,65.72,4.4,7.2,High,55.39,No,No,2.1,Good,4,Art,Pass,Offline,52,53
414,Vivaan,Male,18,PG,Manager,431090,71.9,43.91,5.9,8.8,High,99.2,No,Yes,2.6,Average,3,Art,Pass,Online,52,53
415,Aanya,Female,18,High School,Farmer,293660,79.72,91.25,4.4,7.9,Medium,76.26,Yes,No,0.4,Excellent,3,Sports,Pass,Offline,60,60
416,Sneha,Female,17,High School,Farmer,436897,64.14,64.04,3.9,5.7,Low,81.97,No,No,0.6,Average,3,Dance,Pass,Online,56,56
417,Rajat,Male,15,High School,Farmer,343563,76.46,71.29,4.6,5.7,Low,91.02,No,No,2.4,Average,3,Sports,Pass,Offline,61,69
418,Vivaan,Male,14,High School,Shopkeeper,61328,76.54,57,2.3,5.8,Medium,50.46,Yes,No,0.4,Excellent,4,Art,Pass,Offline,35,36
419,Neha,Female,14,High School,Driver,453457,89.27,58.01,4.8,5.5,High,86.91,No,No,3.2,Poor,5,Music,Pass,Offline,48,47
420,Anjali,Female,15,PG,Scientist,299900,58.34,69.75,5.5,7.3,High,60.44,Yes,Yes,2.5,Poor,4,Art,Pass,Online,52,53
421,Rajat,Male,17,UG,Salesperson,71548,75.73,71.34,4.9,8.9,Low,56.24,No,No,3.9,Excellent,5,None,Pass,Offline,52,48
422,Rahul,Male,16,PG,Doctor,58724,99.51,68.31,4.8,7.9,Low,77.31,Yes,No,3.7,Poor,2,Music,Pass,Online,52,53
423,Nikita,Female,18,UG,Accountant,105349,83.56,49.18,1.6,8.2,Low,53.12,Yes,No,1.6,Poor,5,Dance,Pass,Online,52,47
424,Kunal,Male,14,PG,Manager,68233,98.92,78.33,4.2,8.8,Medium,83.04,Yes,Yes,1.8,Good,1,Sports,Pass,Online,52,53
425,Aryan,Male,16,High School,Security Guard,425900,56.26,57.91,1.7,9,High,68.46,No,No,0.4,Average,2,None,Pass,Online,46,46
426,Shreya,Female,16,UG,Technician,297850,89.74,66.36,2.2,6,Medium,58.89,Yes,Yes,1.8,Average,3,Art,Pass,Offline,52,53
427,Kavya,Female,15,UG,Clerk,411187,56.07,62.71,1.4,7.7,High,73.23,Yes,Yes,1.5,Poor,2,None,Pass,Online,52,53
428,Shreya,Female,16,PG,Scientist,95670,81.28,45.92,2.9,7.7,Medium,66.13,No,Yes,1.9,Good,4,Sports,Pass,Offline,52,53
429,Priya,Female,14,UG,Accountant,159949,72.75,69.84,4.6,6.1,Medium,60.75,Yes,Yes,2.1,Average,1,Dance,Pass,Offline,52,53
430,Isha,Female,17,High School,Security Guard,443576,50.69,63.45,2.5,6.5,Medium,64.32,No,No,2.2,Excellent,3,Art,Pass,Online,44,44
431,Isha,Female,18,High School,Shopkeeper,238169,70.7,48.11,5,5.9,Medium,55.98,No,No,0.2,Excellent,3,Dance,Pass,Offline,65,59
432,Vivaan,Male,18,PG,Doctor,325460,81.11,82.4,2.9,5.4,Low,54.05,No,No,2.7,Average,2,Music,Pass,Offline,52,53
433,Nikhil,Male,16,High School,Driver,412392,61.48,92.53,2.6,8,Medium,87.28,Yes,No,0.8,Good,5,Music,Pass,Online,30,29
434,Siddharth,Male,17,PG,Manager,333935,58.41,42.85,1.5,8.3,Medium,68.17,Yes,No,0.2,Excellent,4,Art,Pass,Online,52,53
435,Anjali,Female,14,PG,Professor,195635,92.06,61.38,2.7,7.8,High,50.14,No,No,1.8,Good,1,Music,Pass,Offline,52,53
436,Kunal,Male,17,High School,Tailor,128411,57.01,48.92,5.9,7.3,Low,75.5,Yes,Yes,3.1,Good,2,None,Pass,Offline,79,80
437,Kavya,Female,16,High School,Shopkeeper,475717,61.58,75.6,1.3,5.5,Low,71.24,No,Yes,3.4,Excellent,2,Dance,Pass,Offline,42,51
438,Trisha,Female,18,PG,Professor,419357,69.5,68.57,4,6.6,High,80.5,No,Yes,3.4,Poor,1,Art,Pass,Online,52,53
439,Nikhil,Male,17,UG,Teacher,60926,75.72,70.48,5.8,6.8,Medium,59.89,Yes,No,2.5,Average,1,None,Pass,Online,52,53
440,Nikita,Female,15,PG,Scientist,94599,58.64,47.02,2.7,9,High,58.95,No,No,3.8,Average,4,Art,Pass,Online,52,53
441,Aryan,Male,18,UG,Technician,130505,96.47,88.47,5.9,8.4,High,79.54,Yes,No,0.4,Poor,4,None,Pass,Online,52,53
442,Meera,Female,17,PG,Manager,214067,60.58,46.65,4.6,8.8,Low,96.11,No,Yes,1.1,Good,5,None,Pass,Offline,52,49
443,Manish,Male,14,UG,Salesperson,76933,65.24,88.18,3.4,5.5,Low,96.92,Yes,No,1.9,Poor,3,None,Pass,Offline,52,53
444,Nikhil,Male,16,High School,Tailor,277085,50.04,69.79,5.9,7.9,Low,50.58,No,Yes,0.3,Excellent,3,Music,Pass,Offline,72,71
445,Neha,Female,18,UG,Accountant,236761,82.98,87.26,5.6,9,Low,90.43,Yes,No,0.6,Poor,2,Music,Pass,Offline,52,53
446,Sakshi,Female,18,High School,Farmer,497507,97.95,62.2,5.2,6.3,Medium,75.99,Yes,No,3.7,Average,5,Sports,Pass,Offline,51,48
447,Aniket,Male,18,High School,Driver,173787,94.54,51.63,4.6,6.7,Low,88.65,No,Yes,1.2,Poor,5,None,Pass,Online,46,45
448,Neha,Female,18,UG,Technician,278239,83.66,63.37,4.5,6.9,High,78.81,Yes,Yes,0.5,Good,4,None,Pass,Online,52,53
449,Aarav,Male,17,PG,Professor,352328,99.31,82.78,4.8,7.3,Low,70.35,Yes,No,1.5,Good,3,Sports,Pass,Offline,52,53
450,Meera,Female,15,UG,Salesperson,224891,57.84,65.72,3.5,6.7,Low,80.49,Yes,No,3,Good,2,None,Pass,Online,52,53
451,Rajat,Male,17,PG,Professor,415237,56.76,94.21,2.4,5.6,Medium,50.97,No,Yes,0,Excellent,2,Dance,Pass,Offline,52,53
452,Aarav,Male,17,UG,Technician,369637,74.62,82.45,2.1,6.8,Low,90.73,No,No,2.8,Excellent,3,Sports,Pass,Online,52,53
453,Vivaan,Male,14,PG,Scientist,119182,56.52,51.85,5,8.2,Low,89.53,Yes,No,1.3,Poor,5,Sports,Pass,Online,52,50
454,Riya,Female,18,UG,Clerk,224519,73.41,87.01,1.9,8.5,High,60.56,Yes,No,2.2,Poor,3,Music,Pass,Offline,52,53
455,Riya,Female,18,PG,Professor,162288,60.31,90.08,5.7,5.5,Low,64.12,Yes,No,1.1,Excellent,5,Dance,Pass,Online,52,47
456,Shreya,Female,16,UG,Salesperson,194965,50.07,43.93,1.5,6.7,High,57.11,No,No,2.6,Average,2,Dance,Pass,Online,52,53
457,Tanya,Female,18,PG,Manager,444941,82.75,63.45,1.4,6.5,High,90.95,No,Yes,0.4,Excellent,1,None,Pass,Offline,52,53
458,Sneha,Female,18,UG,Clerk,194861,96.45,99.24,2.3,5.8,High,68.62,No,No,2.9,Good,3,Art,Pass,Online,52,53
459,Nikita,Female,17,High School,Security Guard,489880,88.25,65.5,3.6,6.4,Low,53.99,Yes,No,3.3,Average,1,Art,Pass,Online,68,71
460,Neha,Female,15,PG,Manager,97621,60.25,92.6,3.4,5.7,Medium,97.69,No,No,3.5,Average,4,Music,Pass,Online,52,53
461,Shreya,Female,17,High School,Shopkeeper,97432,76.68,89.64,1.8,8.4,High,83.07,No,Yes,3.3,Good,3,Dance,Pass,Online,39,49
462,Raj,Male,17,PG,Manager,205715,98.58,64.43,4.9,7.4,Low,82.49,No,No,2.1,Excellent,1,Sports,Pass,Offline,52,53
463,Aarav,Male,18,PG,Professor,429977,60.6,82.23,2.9,5.9,Medium,94.32,No,No,0.8,Average,4,Art,Pass,Online,52,53
464,Kunal,Male,14,UG,Technician,495758,81.85,71.32,1.1,7.1,Low,88.37,No,Yes,2.8,Excellent,3,Sports,Pass,Offline,52,53
465,Aryan,Male,16,High School,Security Guard,186997,76.26,98.61,5.8,6,Low,52.24,No,Yes,4,Poor,5,Dance,Pass,Online,56,55
466,Priya,Female,18,High School,Tailor,271653,51.39,96.21,6,5.7,Medium,61.28,No,No,2.1,Poor,3,Art,Pass,Offline,73,71
467,Pranav,Male,14,High School,Farmer,243682,63.39,81.38,2.6,7.4,Low,80.27,No,No,2.9,Average,4,Art,Pass,Offline,38,38
468,Kavya,Female,18,UG,Teacher,460950,56.99,65.43,1.4,6.3,Low,90.07,Yes,Yes,0.1,Excellent,1,Dance,Pass,Online,52,53
469,Bhavna,Female,15,UG,Salesperson,367745,89.91,61.6,3.4,5.7,High,87.59,Yes,No,3.7,Excellent,4,Dance,Pass,Online,52,53
470,Aniket,Male,17,UG,Clerk,213950,98.07,91.03,4.9,8.5,Low,99.99,No,No,0.2,Average,5,Art,Pass,Offline,52,47
471,Anjali,Female,16,High School,Security Guard,199517,64.77,77.66,3.2,8.3,Medium,83.78,No,Yes,1,Good,3,Music,Pass,Online,50,49
472,Yash,Male,18,PG,Doctor,454978,78.85,91.43,3.9,8,High,58.86,No,Yes,2.6,Average,3,Dance,Pass,Online,52,53
473,Harsh,Male,16,High School,Farmer,303254,70.97,50.8,2.6,6.7,High,73.13,No,No,1.3,Poor,4,Music,Pass,Offline,38,30
474,Vikram,Male,15,PG,Manager,176111,68.24,99.95,1.9,5.9,High,83.56,Yes,No,1.9,Average,3,Art,Pass,Online,52,53
475,Aryan,Male,16,PG,Doctor,425561,52.98,71.42,1.3,7.6,Low,96,No,Yes,1.8,Poor,3,Music,Pass,Online,52,53
476,Shreya,Female,14,UG,Technician,170472,70.23,44.32,5.2,6.3,Medium,65.3,Yes,No,1.5,Poor,2,Sports,Pass,Online,52,53
477,Komal,Female,17,High School,Shopkeeper,391005,82.47,96.76,1.3,5,Medium,64.74,Yes,Yes,1.4,Good,1,Dance,Pass,Offline,50,53
478,Kavya,Female,17,High School,Security Guard,51995,95.31,44.17,5.6,8.2,Medium,81.45,No,Yes,0.9,Average,4,None,Pass,Online,62,63
479,Nikita,Female,16,PG,Professor,124994,62.67,62.01,4.7,8.5,High,87.11,Yes,No,3.2,Excellent,5,None,Pass,Online,52,48
480,Rahul,Male,18,UG,Salesperson,77477,65.87,42.17,2.9,5.3,High,70.92,Yes,Yes,1.4,Excellent,4,Sports,Pass,Online,52,53
481,Tanya,Female,14,UG,Clerk,285991,92.03,53.12,1.2,7.3,Medium,98.49,Yes,No,0.2,Poor,5,Music,Pass,Offline,52,47
482,Aditya,Male,15,PG,Scientist,407405,69.57,54.45,6,5.7,High,86.45,No,No,2,Good,2,Sports,Pass,Offline,52,53
483,Priya,Female,17,High School,Farmer,78912,88.01,70.17,4.7,8.3,Low,90.36,No,Yes,2.8,Average,2,Music,Pass,Offline,70,70
484,Simran,Female,17,PG,Doctor,288629,62.52,99.3,4.6,5.3,High,75.01,No,No,0.4,Excellent,5,Dance,Pass,Offline,52,48
485,Riya,Female,18,PG,Engineer,483451,93.68,73.47,2.1,7.5,High,70.39,No,No,0.1,Excellent,5,Sports,Pass,Offline,52,51
486,Isha,Female,18,High School,Shopkeeper,111059,70.21,77.18,2.6,8.9,Low,52.86,No,Yes,1.2,Good,3,None,Pass,Offline,45,38
487,Krishna,Male,16,PG,Doctor,313070,96.69,82.78,1.9,8.6,Low,85.92,Yes,Yes,3.1,Poor,3,Music,Pass,Online,52,53
488,Priya,Female,15,UG,Salesperson,390536,95.89,61.38,3.5,7,Low,91.82,No,No,3.7,Good,4,Art,Pass,Offline,52,53
489,Rohan,Male,15,High School,Farmer,134535,55.06,61.87,1.3,8.9,Medium,53.95,No,Yes,1.9,Good,1,Dance,Pass,Online,50,58
490,Vikram,Male,17,High School,Tailor,112768,85.95,80.33,1.1,8.3,Medium,74.82,No,Yes,3.4,Excellent,4,None,Pass,Online,26,30
491,Swati,Female,15,High School,Shopkeeper,321685,57.13,67.75,5.8,6.9,High,94.41,Yes,No,0.8,Excellent,4,Art,Pass,Online,63,63
492,Vikram,Male,17,UG,Salesperson,321791,92.89,49,5.6,8.5,Medium,64.47,Yes,Yes,3,Good,1,Art,Pass,Offline,52,53
493,Anjali,Female,15,High School,Farmer,221799,78,83.48,5.7,8.9,Low,77.3,No,Yes,1.3,Average,2,Music,Pass,Online,78,78
494,Sakshi,Female,15,High School,Shopkeeper,66742,89.53,84.05,3.1,8.9,High,70.29,Yes,No,0.4,Excellent,4,Music,Pass,Online,42,37
495,Harsh,Male,14,PG,Scientist,142947,82.25,93.96,3.2,6,Low,55.97,No,No,0.4,Poor,5,Sports,Pass,Online,52,51
496,Siddharth,Male,16,UG,Clerk,115161,76.53,78.37,4.1,6.1,Low,87.19,No,No,4,Poor,2,Dance,Pass,Online,52,53
497,Aarav,Male,14,High School,Farmer,273983,92.91,75.76,3.2,5.1,Medium,69.94,No,Yes,2.9,Good,3,None,Pass,Online,50,45
498,Harsh,Male,14,UG,Teacher,272709,84.97,62.59,5.4,5.1,High,73.11,Yes,Yes,0.5,Good,5,Sports,Pass,Offline,52,51
499,Amit,Male,14,UG,Salesperson,442932,72.01,72.28,1.8,5,Medium,54.44,No,Yes,2.7,Poor,3,Dance,Pass,Offline,52,53
500,Rohan,Male,18,PG,Professor,243486,52.77,78.3,4.4,5.1,Low,86.44,Yes,No,1.7,Good,1,Art,Pass,Online,52,53
501,Swati,Female,17,High School,Security Guard,128195,51.09,68.44,5.2,5.6,Low,76.81,Yes,Yes,0.2,Good,2,None,Pass,Offline,74,78
502,Nikhil,Male,18,PG,Doctor,370581,93.29,97.9,6,6.2,Medium,72.03,Yes,Yes,1.9,Average,2,None,Pass,Online,52,53
503,Tanya,Female,16,UG,Clerk,129460,60.81,94.76,2.9,7.1,Medium,99.03,No,Yes,0.5,Excellent,2,Sports,Pass,Offline,52,53
504,Vikram,Male,16,PG,Professor,347193,60.02,79.85,3.7,8.6,Low,97.92,Yes,No,0.2,Poor,2,None,Pass,Offline,52,53
505,Sakshi,Female,17,PG,Engineer,394074,64.84,97.69,4.5,5.2,High,74.31,No,Yes,1.6,Good,5,None,Pass,Online,52,48
506,Raj,Male,14,PG,Scientist,171720,91.75,94.97,5.8,6.3,High,99.04,Yes,No,2.3,Excellent,3,Sports,Pass,Offline,52,53
507,Yash,Male,17,PG,Manager,441689,87,56.94,1.3,7.1,High,50.31,No,Yes,0.1,Average,4,Art,Pass,Online,52,53
508,Neha,Female,18,High School,Driver,361466,87.74,72.68,4,8.8,Medium,97.67,Yes,No,1.3,Good,2,None,Pass,Online,64,64
509,Komal,Female,14,UG,Salesperson,246934,71.8,77.69,1.3,8.2,High,65.84,No,No,1.8,Average,5,Art,Pass,Online,52,49
510,Yash,Male,16,PG,Professor,368410,87.57,80.07,5.2,6.5,Low,88.07,Yes,Yes,0.2,Good,5,None,Pass,Offline,52,47
511,Anjali,Female,15,PG,Manager,200905,96.11,99.56,4.5,8.7,Low,81.24,No,No,1.7,Excellent,1,Music,Pass,Offline,52,53
512,Pranav,Male,16,PG,Manager,394667,97.52,90.01,5.4,8.6,Low,61.75,Yes,No,1.8,Average,3,Dance,Pass,Offline,52,53
513,Anjali,Female,16,High School,Farmer,426579,62.39,81.62,4.8,8.9,Medium,63.8,No,No,2.5,Good,4,Art,Pass,Online,55,55
514,Vivaan,Male,15,PG,Manager,351704,89.68,83.24,5.6,6.7,High,58.94,No,Yes,3.7,Poor,2,Dance,Pass,Offline,52,53
515,Riya,Female,18,PG,Professor,225013,62.91,77.67,3.6,7.7,High,64.41,Yes,No,2.5,Good,4,Music,Pass,Offline,52,53
516,Komal,Female,15,High School,Driver,414156,66.42,93.1,3.5,6.4,High,67.29,Yes,No,2.4,Average,5,None,Pass,Offline,38,34
517,Tanya,Female,14,UG,Salesperson,353520,81.5,91.19,2.6,6.8,Low,51.09,No,No,2.1,Poor,4,Music,Pass,Offline,52,53
518,Pooja,Female,18,High School,Tailor,107016,62.03,57.65,4,8.9,Medium,92.78,Yes,No,3.3,Poor,5,None,Pass,Online,42,39
519,Trisha,Female,18,High School,Farmer,159401,93.98,61.13,1.5,5.9,High,57.94,Yes,No,0.1,Poor,5,None,Pass,Offline,22,21
520,Abhishek,Male,15,PG,Doctor,102422,59.69,76.12,2.6,8.6,Low,87.96,No,No,3.9,Excellent,4,Sports,Pass,Online,52,53
521,Shreya,Female,17,PG,Manager,356904,60.2,97.4,5.1,8.6,Medium,63.75,No,No,3.7,Average,1,Music,Pass,Offline,52,53
522,Anjali,Female,17,UG,Salesperson,77132,68.82,70.57,2.5,5.4,Medium,98.81,Yes,Yes,1,Excellent,1,None,Pass,Offline,52,53
523,Rohan,Male,16,PG,Manager,256461,86.76,98.57,2,6.5,High,67.16,No,Yes,0.6,Good,2,Art,Pass,Online,52,53
524,Trisha,Female,14,High School,Farmer,57720,96.87,77.66,3.7,7.8,High,86.97,Yes,Yes,1.9,Average,4,None,Pass,Online,47,49
525,Aditya,Male,16,High School,Tailor,114276,51.36,75.02,4.6,6.6,Low,78.19,Yes,Yes,1.4,Good,1,Music,Pass,Offline,76,81
526,Kavya,Female,18,UG,Teacher,93609,80.1,85.66,2.1,6.5,Low,59.87,Yes,Yes,2.4,Excellent,4,Dance,Pass,Online,52,53
527,Bhavna,Female,16,PG,Doctor,108945,51.34,43.07,1.8,6.3,Medium,88.36,Yes,Yes,2.6,Good,1,Art,Pass,Offline,52,53
528,Sakshi,Female,16,PG,Doctor,419805,70,93.64,5.7,7.1,High,73.61,No,No,3.8,Good,5,None,Pass,Offline,52,47
529,Kavya,Female,14,UG,Technician,170843,75.64,92.43,5.3,8,High,82.01,Yes,No,3.9,Average,1,Music,Pass,Offline,52,53
530,Yash,Male,14,UG,Technician,164585,64.38,56.08,1.3,6.5,Low,83.31,Yes,Yes,2.3,Good,5,Music,Pass,Online,52,50
531,Sneha,Female,17,High School,Driver,466114,72.8,46.5,1.1,8.8,Low,92.14,Yes,No,1.7,Good,1,Dance,Pass,Offline,48,53
532,Rohan,Male,17,High School,Shopkeeper,260899,52.22,45.13,2.8,8,High,97.02,Yes,No,2.3,Average,3,Dance,Pass,Offline,47,39
533,Pranav,Male,15,UG,Technician,336418,58.52,83.04,5,6.7,Medium,61.83,No,No,2.9,Good,1,Art,Pass,Offline,52,53
534,Anjali,Female,14,High School,Driver,261552,98.07,55.47,5.6,6.1,Low,56.57,No,Yes,2.6,Good,1,Dance,Pass,Online,84,89
535,Sneha,Female,15,PG,Scientist,347601,76.26,65.64,2.3,6.5,High,78.92,Yes,Yes,1.4,Good,1,Art,Pass,Offline,52,53
536,Pooja,Female,15,UG,Technician,451385,52.07,45.1,4.3,8,High,92.21,No,No,1.6,Average,5,None,Pass,Offline,52,47
537,Aryan,Male,16,High School,Driver,365799,83.65,46.65,5.5,8.2,High,74.12,No,Yes,0.9,Good,2,Music,Pass,Offline,76,72
538,Rajat,Male,17,UG,Accountant,466972,61.54,89.78,1.4,6.6,Medium,93.8,No,No,3,Excellent,4,None,Pass,Online,52,53
539,Trisha,Female,15,PG,Engineer,276700,79.01,77.99,3.6,8.8,Low,79.38,Yes,No,2.2,Poor,5,None,Pass,Online,52,47
540,Vivaan,Male,15,High School,Driver,195551,94.13,68.56,5.8,5.5,Medium,67.25,No,Yes,3.9,Good,4,Sports,Pass,Offline,63,61
541,Vikram,Male,17,UG,Technician,241419,90.85,63.64,4.3,8.5,Medium,63.44,Yes,Yes,2.9,Poor,1,Music,Pass,Offline,52,53
542,Raj,Male,18,UG,Accountant,474836,99.43,89.67,2,5.6,High,73.78,No,No,3.5,Average,3,Sports,Pass,Online,52,53
543,Rahul,Male,16,High School,Driver,405341,64.67,86.66,5.1,7.3,High,94.33,Yes,No,1.2,Poor,1,None,Pass,Offline,80,83
544,Tanya,Female,18,PG,Manager,339612,85.56,58.46,4.2,7.4,High,96.99,Yes,No,0.6,Average,4,Dance,Pass,Online,52,53
545,Tanya,Female,16,High School,Security Guard,137642,59.64,79.21,5.6,5.4,Medium,74.35,No,No,2.9,Excellent,4,None,Pass,Offline,62,49
